cnuc,nome,anoCriacao,sigla,areaHa,perimetroM,atoLegal,administra,SiglaGrupo,UF,municipios,biomaIBGE,biomaCRL,CoordRegio
215,RESERVA BIOLÓGICA DE POÇO DAS ANTAS,1974,Rebio,50525335,384743442,"DEC  73.791 de 11/03/1974, DEC  76.534 de 13/11/1975",Federal,PI,RJ,Silva Jardim Casimiro de Abreu.,MATA ATLÂNTICA,MATA ATLÂNTICA,CR8 Rio de Janeiro/RJ
73,ESTAÇÃO ECOLÓGICA MICO-LEÃO-PRETO,2002,Esec,66806741,911700876,"DEC S/N de 16/07/2002, DEC S/N de 14/05/2004",Federal,PI,SP,Marabá Paulista Presidente Epitácio Teodoro Sampaio Euclides da Cunha Paulista.,MATA ATLÂNTICA,MATA ATLÂNTICA,CR8 Rio de Janeiro/RJ
172,PARQUE NACIONAL DO IGUAÇU,1939,Parna,1696970552,4084872959,"DEC  1.035 de 10/01/1939, DEC 86.676 de 01/12/1981",Federal,PI,PR,Céu Azul Matelândia Serranópolis do Iguaçu São Miguel do Iguaçu Foz do Iguaçu Capanema Capitão Leonidas Marques Lindoeste Santa tereza do Oeste Santa Terezinha do Itaipu.,MATA ATLÂNTICA,MATA ATLÂNTICA,CR9 Florianópolis/SC
214,RESERVA BIOLÓGICA MARINHA DO ARVOREDO,1990,Rebio,171045997,550480728,DEC  99.142 de 12/03/1990,Federal,PI,SC,Florianópolis Governador Celso Ramos.,MARINHO COSTEIRO,MARINHO COSTEIRO,CR9 Florianópolis/SC
52,ESTAÇÃO ECOLÓGICA DE CARIJÓS,1987,Esec,7593371,331576553,DEC 94.656 de 20/07/1987,Federal,PI,SC,Florianópolis.,MATA ATLÂNTICA,MATA ATLÂNTICA,CR9 Florianópolis/SC
50,ESTAÇÃO ECOLÓGICA DE ARACURI-ESMERALDA,1981,Esec,2769792,70281074,DEC  86.061 de 2/6/1981.,Federal,PI,RS,Muitos Capões.,MATA ATLÂNTICA,MATA ATLÂNTICA,CR9 Florianópolis/SC
140,PARQUE NACIONAL DA LAGOA DO PEIXE,1986,Parna,367219306,1404748096,DEC 93.546 de 06/11/1986,Federal,PI,RS,Mostardas Tavares.,PAMPA,PAMPA,CR9 Florianópolis/SC
67,ESTAÇÃO ECOLÓGICA DO JARI,1982,Esec,2310820937,4333967338,"DEC  87.092 de 12/04/1982, DEC 89.440 de 13/03/1984",Federal,PI,PA/AP,Laranjal do Jari Almeirim.,AMAZÔNIA,AMAZÔNIA,CR4 Belém/PA
213,RESERVA BIOLÓGICA DE UATUMÃ,1990,Rebio,9387316217,5325577648,"DEC  99.277 de 06/06/1990, DEC S/N de 19/09/2002",Federal,PI,AM,Urucará São Sebastião do Uatumã Presidente Figueiredo.,AMAZÔNIA,AMAZÔNIA,CR2 Manaus/AM
179,PARQUE NACIONAL DO VIRUÁ,1998,Parna,2149505192,2389815819,DEC S/N de 29/04/1998,Federal,PI,RR,Caracaraí.,AMAZÔNIA,AMAZÔNIA,CR2 Manaus/AM
57,ESTAÇÃO ECOLÓGICA DE MARACÁ,1981,Esec,1035198671,217330675,DEC  86.061 de 02/06/1981,Federal,PI,RR,Amajari Alto Alegre.,AMAZÔNIA,AMAZÔNIA,CR2 Manaus/AM
177,PARQUE NACIONAL DO PICO DA NEBLINA,1979,Parna,2253000,973850944,DEC 83.550 de 05/06/1979,Federal,PI,AM,Santa Isabel do Rio Negro São Gabriel da Cachoeira.,AMAZÔNIA,AMAZÔNIA,CR2 Manaus/AM
273,RESERVA EXTRATIVISTA ARIÓCA PRUANÃ,2005,Resex,838167161,1541511555,DEC S/N de  16/11/2005,Federal,US,PA,Oeiras do Pará Bagre.,AMAZÔNIA,AMAZÔNIA,CR4 Belém/PA
282,RESERVA EXTRATIVISTA TERRA GRANDE - PRACUÚBA,2006,Resex,1948703774,2728143405,DEC S/N de 05/06/2006,Federal,US,PA,São Sebastião da Boa Vista Curralinho Anajás Breves Muaná.,AMAZÔNIA,AMAZÔNIA,CR4 Belém/PA
66,ESTAÇÃO ECOLÓGICA DO CASTANHÃO,2001,Esec,125746361,3507149751,DEC S/N de 27/09/2001,Federal,PI,CE,Jaguaribara Alto Santo Iracema.,CAATINGA,CAATINGA,CR6 Cabedelo/PB
168,PARQUE NACIONAL DO ARAGUAIA,1959,Parna,5555244384,5360869417,"DEC 47.570 de 31/12/1959, DEC 84.844 de 24/06/1980",Federal,PI,TO,Pium Lagoa da Confusão.,CERRADO,CERRADO,CR10 Cuiabá/MT
