n,ordem,familia,genero,especie,categoria
663,Carnivora,Canidae,Atelocynus,microtis,VU
664,Carnivora,Canidae,Chrysocyon,brachyurus,VU
665,Carnivora,Canidae,Lycalopex,vetulus,VU
666,Carnivora,Canidae,Speothos,venaticus,VU
667,Carnivora,Felidae,Herpailurus,yagouaroundi,VU
668,Carnivora,Felidae,Leopardus,colocolo,VU
669,Carnivora,Felidae,Leopardus,geoffroyi,VU
670,Carnivora,Felidae,Leopardus,guttulus,VU
671,Carnivora,Felidae,Leopardus,tigrinus,EN
672,Carnivora,Felidae,Leopardus,wiedii,VU
673,Carnivora,Felidae,Panthera,onca,VU
674,Carnivora,Mustelidae,Pteronura,brasiliensis,VU
675,Cetartiodactyla,Cervidae,Blastocerus,dichotomus,VU
676,Cetartiodactyla,Cervidae,Mazama,nana,VU
677,Cetartiodactyla,Cervidae,Ozotoceros,bezoarticus,VU
678,Cetartiodactyla,Tayassuidae,Tayassu,pecari,VU
679,Chiroptera,Furipteridae,Furipterus,horrens,VU
680,Chiroptera,Natalidae,Natalus,macrourus,VU
681,Chiroptera,Phyllostomidae,Lonchophylla,bokermanni,VU
682,Chiroptera,Phyllostomidae,Lonchophylla,dekeyseri,EN
683,Cingulata,Dasypodidae,Priodontes,maximus,VU
684,Cingulata,Dasypodidae,Tolypeutes,tricinctus,EN
685,Perissodactyla,Tapiridae,Tapirus,terrestris,VU
686,Pilosa,Bradypodidae,Bradypus,torquatus,VU
687,Pilosa,Myrmecophagidae,Myrmecophaga,tridactyla,VU
688,Primates,Atelidae,Alouatta,belzebul,VU
689,Primates,Atelidae,Alouatta,discolor,VU
690,Primates,Atelidae,Alouatta,guariba clamitans,VU
691,Primates,Atelidae,Alouatta,guariba guariba,CR
692,Primates,Atelidae,Alouatta,ululata,EN
693,Primates,Atelidae,Ateles,belzebuth,VU
694,Primates,Atelidae,Ateles,chamek,VU
695,Primates,Atelidae,Ateles,marginatus,EN
696,Primates,Atelidae,Brachyteles,arachnoides,EN
697,Primates,Atelidae,Brachyteles,hypoxanthus,CR
698,Primates,Atelidae,Lagothrix,lagothricha cana,EN
699,Primates,Atelidae,Lagothrix,lagothricha lagothricha,VU
700,Primates,Atelidae,Lagothrix,lagothricha poeppigii,VU
701,Primates,Callitrichidae,Callithrix,aurita,EN
702,Primates,Callitrichidae,Callithrix,flaviceps,EN
703,Primates,Callitrichidae,Leontopithecus,caissara,EN
704,Primates,Callitrichidae,Leontopithecus,chrysomelas,EN
705,Primates,Callitrichidae,Leontopithecus,chrysopygus,EN
